volume,one_week_perf,one_month_perf,three_month_perf,six_month_perf,one_year_perf,bull_bear_signal,technical_rating,ad_trend,avg_volume_6_days,avg_volume_9_days,avg_volume_12_days,avg_volume_15_days,avg_volume_30_days,q1,q2,q3,q4,capital_fund_to_rwa,npl_to_total_loan,return_on_equity,total_loan_loss_provision_to_npl,symbol,market_cap,stock_bonus,eps_ttm,roa_ttm,roe_ttm,pr_ratio
67502,-1.92,-7.82,-5.37,-14.18,28.7,-,SL,Accumulation,46471.0,54957.0,55931.0,54292.0,55576.0,-13.36%,-3.12%,-8.88%,-16.62%,13,3,7,98,CZBIL (Citizen Bank International),30583860909.05,"[{'id': 2156, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 4, 'cash': 0.21, 'total': 4.21, 'fiscal_year': '2080/2081'}, {'id': 2155, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 0, 'cash': 5.79, 'total': 5.79, 'fiscal_year': '2079/2080'}, {'id': 2154, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 0, 'cash': 9, 'total': 9, 'fiscal_year': '2078/2079'}, {'id': 2153, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 12.91, 'cash': 3.09, 'total': 16, 'fiscal_year': '2077/2078'}, {'id': 2152, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 8, 'cash': 3, 'total': 11, 'fiscal_year': '2076/2077'}, {'id': 2151, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 3, 'cash': 12, 'total': 15, 'fiscal_year': '2075/2076'}, {'id': 2150, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 3.63, 'cash': 1.64, 'total': 5.26, 'fiscal_year': '2074/2075'}, {'id': 2149, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 16, 'cash': 1, 'total': 17, 'fiscal_year': '2073/2074'}, {'id': 2148, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 15.8, 'cash': 0.83, 'total': 16.63, 'fiscal_year': '2072/2073'}, {'id': 2147, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 20, 'cash': 1.05, 'total': 21.05, 'fiscal_year': '2071/2072'}, {'id': 2146, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 13, 'cash': 5.95, 'total': 18.95, 'fiscal_year': '2070/2071'}, {'id': 2145, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 0, 'cash': 15, 'total': 15, 'fiscal_year': '2069/2070'}, {'id': 2144, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 0, 'cash': 8.42, 'total': 8.42, 'fiscal_year': '2068/2069'}, {'id': 2143, 'symbol': 'CZBIL', 'sector': 'BANKING', 'bonus': 5, 'cash': 5.53, 'total': 10.53, 'fiscal_year': '2067/2068'}]",8.96,,,23.1
29157,-0.21,1.54,1.22,2.4,23.4,-,-,Distribution,26190.0,38341.0,43673.0,41142.0,33707.0,-2.54%,0.60%,-1.01%,-2.30%,12,0,13,291,EBL (Everest Bank),80552241823.2,"[{'id': 2170, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 10, 'cash': 5.53, 'total': 15.53, 'fiscal_year': '2080/2081'}, {'id': 2169, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 10, 'cash': 10.53, 'total': 20.53, 'fiscal_year': '2079/2080'}, {'id': 2168, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 13, 'cash': 7.68, 'total': 20.68, 'fiscal_year': '2078/2079'}, {'id': 2167, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 6, 'cash': 4.32, 'total': 10.32, 'fiscal_year': '2077/2078'}, {'id': 2166, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 5, 'cash': 5.53, 'total': 10.53, 'fiscal_year': '2076/2077'}, {'id': 2165, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 5, 'cash': 20, 'total': 25, 'fiscal_year': '2075/2076'}, {'id': 2164, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 20, 'total': 20, 'fiscal_year': '2074/2075'}, {'id': 2163, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 33, 'cash': 1.74, 'total': 34.74, 'fiscal_year': '2073/2074'}, {'id': 2162, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 70, 'cash': 3.68, 'total': 73.68, 'fiscal_year': '2072/2073'}, {'id': 2161, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 30, 'cash': 6.57, 'total': 36.57, 'fiscal_year': '2071/2072'}, {'id': 2160, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 12, 'cash': 50, 'total': 62, 'fiscal_year': '2070/2071'}, {'id': 2159, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 10, 'cash': 50.53, 'total': 60.53, 'fiscal_year': '2069/2070'}, {'id': 2158, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 30, 'cash': 1.58, 'total': 31.58, 'fiscal_year': '2068/2069'}, {'id': 2157, 'symbol': 'EBL', 'sector': 'BANKING', 'bonus': 10, 'cash': 50, 'total': 60, 'fiscal_year': '2067/2068'}]",32.06,,,19.41
165845,-0.79,-3.69,-2.68,-16.36,22.03,-,SL,Distribution,120238.0,114259.0,116375.0,112182.0,109060.0,-16.33%,-4.42%,-5.95%,-15.45%,12,4,7,105,GBIME (Global Ime Bank),79786776993.04,"[{'id': 2184, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 5.5, 'cash': 0, 'total': 5.5, 'fiscal_year': '2080/2081'}, {'id': 2183, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 1, 'cash': 8, 'total': 9, 'fiscal_year': '2079/2080'}, {'id': 2182, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 3, 'cash': 10.6, 'total': 13.6, 'fiscal_year': '2078/2079'}, {'id': 2181, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 10, 'cash': 3.5, 'total': 13.5, 'fiscal_year': '2077/2078'}, {'id': 2180, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 14, 'cash': 2, 'total': 16, 'fiscal_year': '2076/2077'}, {'id': 2179, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 12.75, 'cash': 12.75, 'total': 25.5, 'fiscal_year': '2075/2076'}, {'id': 2178, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 16, 'cash': 0, 'total': 16, 'fiscal_year': '2074/2075'}, {'id': 2177, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 10, 'cash': 10, 'total': 20, 'fiscal_year': '2073/2074'}, {'id': 2176, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 16, 'cash': 0, 'total': 16, 'fiscal_year': '2072/2073'}, {'id': 2175, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 23, 'cash': 0, 'total': 23, 'fiscal_year': '2071/2072'}, {'id': 2174, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 21, 'cash': 4, 'total': 25, 'fiscal_year': '2070/2071'}, {'id': 2173, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 15, 'cash': 0, 'total': 15, 'fiscal_year': '2069/2070'}, {'id': 2172, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 3, 'cash': 10, 'total': 13, 'fiscal_year': '2068/2069'}, {'id': 2171, 'symbol': 'GBIME', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2067/2068'}]",16.02,,,13.78
63816,-0.82,-10.33,-7.66,-14.65,26.02,-,SL,No Change,53869.0,62683.0,62398.0,60097.0,55409.0,-18.81%,-8.33%,-19.42%,-16.34%,11,4,7,125,HBL (Himalayan Bank),48486996666.84,"[{'id': 2198, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2080/2081'}, {'id': 2197, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2079/2080'}, {'id': 2196, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 11.11, 'cash': 8, 'total': 19.11, 'fiscal_year': '2078/2079'}, {'id': 2195, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 21.38, 'cash': 4.62, 'total': 26, 'fiscal_year': '2077/2078'}, {'id': 2194, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 14, 'cash': 6, 'total': 20, 'fiscal_year': '2076/2077'}, {'id': 2193, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 10, 'cash': 12, 'total': 22, 'fiscal_year': '2075/2076'}, {'id': 2192, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 5, 'cash': 10.78, 'total': 15.78, 'fiscal_year': '2074/2075'}, {'id': 2191, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 25, 'cash': 1.32, 'total': 26.32, 'fiscal_year': '2073/2074'}, {'id': 2190, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 30, 'cash': 1.57, 'total': 31.57, 'fiscal_year': '2072/2073'}, {'id': 2189, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 35, 'cash': 7.1, 'total': 42.1, 'fiscal_year': '2071/2072'}, {'id': 2188, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 15, 'cash': 6.05, 'total': 21.05, 'fiscal_year': '2070/2071'}, {'id': 2187, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 5, 'cash': 10, 'total': 15, 'fiscal_year': '2069/2070'}, {'id': 2186, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 15, 'cash': 13.42, 'total': 28.42, 'fiscal_year': '2068/2069'}, {'id': 2185, 'symbol': 'HBL', 'sector': 'BANKING', 'bonus': 20, 'cash': 16.84, 'total': 36.84, 'fiscal_year': '2067/2068'}]",14.03,,,15.96
471299,-1.21,-8.73,-3.12,-13.72,47.77,-,SL,Distribution,196423.0,281764.0,274946.0,261623.0,260873.0,-17.50%,-4.35%,-18.27%,-16.98%,11,4,3,135,KBL (Kumari Bank),53558458235.48,"[{'id': 2212, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2080/2081'}, {'id': 2211, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2079/2080'}, {'id': 2210, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 12.5, 'total': 12.5, 'fiscal_year': '2078/2079'}, {'id': 2209, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 6, 'cash': 2.67, 'total': 8.67, 'fiscal_year': '2077/2078'}, {'id': 2208, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 10.85, 'cash': 3.15, 'total': 14, 'fiscal_year': '2076/2077'}, {'id': 2207, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 10, 'cash': 0.52, 'total': 10.52, 'fiscal_year': '2075/2076'}, {'id': 2206, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 8.5, 'cash': 0, 'total': 8.5, 'fiscal_year': '2074/2075'}, {'id': 2205, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 12.75, 'cash': 0, 'total': 12.75, 'fiscal_year': '2073/2074'}, {'id': 2204, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 21, 'cash': 1.1, 'total': 22.1, 'fiscal_year': '2072/2073'}, {'id': 2203, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 11, 'cash': 0.58, 'total': 11.58, 'fiscal_year': '2071/2072'}, {'id': 2202, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 33, 'cash': 1.74, 'total': 34.74, 'fiscal_year': '2070/2071'}, {'id': 2201, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 14, 'cash': 0, 'total': 14, 'fiscal_year': '2069/2070'}, {'id': 2200, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 7, 'total': 7, 'fiscal_year': '2068/2069'}, {'id': 2199, 'symbol': 'KBL', 'sector': 'BANKING', 'bonus': 8, 'cash': 0.44, 'total': 8.44, 'fiscal_year': '2067/2068'}]",2.1,,,97.12
102223,-1.84,-8.42,-4.58,-15.61,40.03,-,SL,Distribution,114567.0,160132.0,144788.0,139894.0,128450.0,-18.86%,-6.88%,-13.67%,-15.80%,12,5,5,89,LSL (Laxmi Sunrise Bank Limited),48987501734.69,"[{'id': 2226, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 5, 'cash': 0.26, 'total': 5.26, 'fiscal_year': '2080/2081'}, {'id': 2225, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 7, 'cash': 0.37, 'total': 7.37, 'fiscal_year': '2079/2080'}, {'id': 2224, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2078/2079'}, {'id': 2223, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2077/2078'}, {'id': 2222, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2076/2077'}, {'id': 2221, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2075/2076'}, {'id': 2220, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2074/2075'}, {'id': 2219, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2073/2074'}, {'id': 2218, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2072/2073'}, {'id': 2217, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2071/2072'}, {'id': 2216, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2070/2071'}, {'id': 2215, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2069/2070'}, {'id': 2214, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2068/2069'}, {'id': 2213, 'symbol': 'LSL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2067/2068'}]",9.55,,,22.13
90329,-0.66,-8.71,-8.67,-15.86,30.09,-,SL,Distribution,66197.0,70269.0,72176.0,69572.0,79305.0,-19.00%,-6.84%,-21.56%,-23.94%,13,3,6,96,MBL (Machhapuchhre Bank),25382206478.93,"[{'id': 2240, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2080/2081'}, {'id': 2239, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 13.3, 'cash': 0.7, 'total': 14, 'fiscal_year': '2079/2080'}, {'id': 2238, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2078/2079'}, {'id': 2237, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 13.3, 'cash': 0.7, 'total': 14, 'fiscal_year': '2077/2078'}, {'id': 2236, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 7.03, 'cash': 3.37, 'total': 10.4, 'fiscal_year': '2076/2077'}, {'id': 2235, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 5, 'cash': 11, 'total': 16, 'fiscal_year': '2075/2076'}, {'id': 2234, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 10, 'total': 10, 'fiscal_year': '2074/2075'}, {'id': 2233, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 9, 'cash': 6, 'total': 15, 'fiscal_year': '2073/2074'}, {'id': 2232, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 20.75, 'cash': 1.09, 'total': 21.84, 'fiscal_year': '2072/2073'}, {'id': 2231, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 16, 'cash': 0.84, 'total': 16.84, 'fiscal_year': '2071/2072'}, {'id': 2230, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 12, 'cash': 0.63, 'total': 12.63, 'fiscal_year': '2070/2071'}, {'id': 2229, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2069/2070'}, {'id': 2228, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2068/2069'}, {'id': 2227, 'symbol': 'MBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2067/2068'}]",13.89,,,15.72
66369,-1.11,-2.67,-2.67,-15.53,12.49,-,SL,Distribution,41632.0,43998.0,46304.0,47750.0,45888.0,-16.45%,-3.71%,-28.84%,-27.74%,12,4,11,106,NABIL (Nabil Bank),130769173167.32,"[{'id': 2254, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 0, 'cash': 10, 'total': 10, 'fiscal_year': '2080/2081'}, {'id': 2253, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 0, 'cash': 11, 'total': 11, 'fiscal_year': '2079/2080'}, {'id': 2252, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 18.5, 'cash': 11.5, 'total': 30, 'fiscal_year': '2078/2079'}, {'id': 2251, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 33.6, 'cash': 4.4, 'total': 38, 'fiscal_year': '2077/2078'}, {'id': 2250, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 33.5, 'cash': 1.76, 'total': 35.26, 'fiscal_year': '2076/2077'}, {'id': 2249, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 12, 'cash': 22, 'total': 34, 'fiscal_year': '2075/2076'}, {'id': 2248, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 12, 'cash': 22, 'total': 34, 'fiscal_year': '2074/2075'}, {'id': 2247, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 30, 'cash': 18, 'total': 48, 'fiscal_year': '2073/2074'}, {'id': 2246, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 30, 'cash': 15, 'total': 45, 'fiscal_year': '2072/2073'}, {'id': 2245, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 30, 'cash': 6.84, 'total': 36.84, 'fiscal_year': '2071/2072'}, {'id': 2244, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 20, 'cash': 45, 'total': 65, 'fiscal_year': '2070/2071'}, {'id': 2243, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 25, 'cash': 40, 'total': 65, 'fiscal_year': '2069/2070'}, {'id': 2242, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 20, 'cash': 40, 'total': 60, 'fiscal_year': '2068/2069'}, {'id': 2241, 'symbol': 'NABIL', 'sector': 'BANKING', 'bonus': 0, 'cash': 30, 'total': 30, 'fiscal_year': '2067/2068'}]",23.98,,,20.15
152944,-1.71,-2.81,-3.65,-13.55,23.1,-,SL,Distribution,69923.0,69315.0,100640.0,92940.0,97610.0,-13.33%,-3.70%,-16.80%,-16.93%,13,4,0,103,NBL (Nepal Bank),36951059386.63,"[{'id': 2268, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2080/2081'}, {'id': 2267, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2079/2080'}, {'id': 2266, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 2, 'cash': 10, 'total': 12, 'fiscal_year': '2078/2079'}, {'id': 2265, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 14, 'cash': 3, 'total': 17, 'fiscal_year': '2077/2078'}, {'id': 2264, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 12, 'cash': 4, 'total': 16, 'fiscal_year': '2076/2077'}, {'id': 2263, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 15, 'cash': 10, 'total': 25, 'fiscal_year': '2075/2076'}, {'id': 2262, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2074/2075'}, {'id': 2261, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2073/2074'}, {'id': 2260, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2072/2073'}, {'id': 2259, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2071/2072'}, {'id': 2258, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2070/2071'}, {'id': 2257, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2069/2070'}, {'id': 2256, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2068/2069'}, {'id': 2255, 'symbol': 'NBL', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2067/2068'}]",6.27,,,40.08
51281,-2.1,-9.41,-5.69,-21.77,-0.77,-,SL,Distribution,73767.0,71033.0,79419.0,71202.0,56761.0,-31.89%,-14.19%,-41.25%,-40.98%,11,3,8,89,NICA (NIC Asia Bank),53445166932.63,"[{'id': 2282, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2080/2081'}, {'id': 2281, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 29, 'cash': 1.52, 'total': 30.52, 'fiscal_year': '2079/2080'}, {'id': 2280, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2078/2079'}, {'id': 2279, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2077/2078'}, {'id': 2278, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 19, 'cash': 1, 'total': 20, 'fiscal_year': '2076/2077'}, {'id': 2277, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 10, 'cash': 11.05, 'total': 21.05, 'fiscal_year': '2075/2076'}, {'id': 2276, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 10, 'cash': 0.53, 'total': 10.53, 'fiscal_year': '2074/2075'}, {'id': 2275, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 20, 'cash': 1.05, 'total': 21.05, 'fiscal_year': '2073/2074'}, {'id': 2274, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 26, 'cash': 1.37, 'total': 27.37, 'fiscal_year': '2072/2073'}, {'id': 2273, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 39, 'cash': 2.05, 'total': 41.05, 'fiscal_year': '2071/2072'}, {'id': 2272, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 15, 'cash': 15, 'total': 30, 'fiscal_year': '2070/2071'}, {'id': 2271, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 0, 'cash': 20, 'total': 20, 'fiscal_year': '2069/2070'}, {'id': 2270, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2068/2069'}, {'id': 2269, 'symbol': 'NICA', 'sector': 'BANKING', 'bonus': 0, 'cash': 0, 'total': 0, 'fiscal_year': '2067/2068'}]",2.03,,,176.12
